РЕЕСТР;РЕЕСТР Период внесения изменений;Внесены изменения в Положение об ИОГВ;Основание/ Дата внесения изменений в Положение (дата согласования КРИОГВ изменений в положение);Основание для исключения (Реквизиты НПА, регламентирующие исключение полномочия);№ пункта в соответствии с ПП Правительства РФ от 30.05.2014 № 496;полномочие осуществляется с использованием ИС;№ пункта в положении об ИОГВ;Статус; Услугу/функцию предоставляет Администрация района/ОМСУ/ФОИВ/ВФ/ГУ;Наименование ИОГВ СПб;Наименование полномочия в соответствии с Положением об ИОГВ;Наименование услуги (функции);порядковый номер услуги/функции;Наименование процедуры в сфере жилищного строительства (распоряжение Правительства РФ);Тип;субъект предоставления услуг (физ/юр);№ пункта Плана-графика 2013;План-график 2013 (срок исполнения);План-график 2013 (требуется внесение изменений);Продление срока по Плану 2013;Основание для продления срока по Плану 2013;Исключение из Плана 2013;Основание для исключения из Плана 2013;План 2013 исполнен;№ пункта Плана-графика 2014;Срок исполнения План-графика 2014;Основание для включения услуги в План-график 2014;Основание для исключения из Плана 2014;"План 2014
исполнение";№ пункта Плана-графика 2015;Срок исполнения План-графика 2015;Основание для включения услуги в План-график 2015;Основание для исключения из Плана 2015;"План 2015
исполнение";Мониторинг в 2014 году;Проведен мониторинг в 2013 году;услуга включена в дорожную карту ИОГВ;Результаты мониторинга 2013 года;"%
удовлетворенности заявителей по услуге";Срок исполнения мероприятий по ДК;Отметка о выполнении;№ пункта Плана-графика 2012;План-график 2012 (месяц);План-график 2012 Внесение изменений в АР;Продление срока;Исключение из Плана 2012;Основание для исключения;ПГ 2012 исполнен;1593;1593 (ред. от 20.09.2012);Внесение изменений в 1593;Реквизиты соглашения;Дата начала предоставления услуги в МФЦ;Реализация в МАИС МФЦ;8-рп;Внесение изменений в 8-рп;Внесение изменений в 11-рп;"Реализация в АИС ""ЭСРН"" (Систематика)";Реализация по ГК в 2014 году;Реализация по ГК в 2014 году ;11-рп от 13.03.2014;этап предоставления на Портале;Внесение изменений в 8-рп в редакции 11-рп от 13.03.2014;Возможность выдачи результата в электронном виде;ГК 2014 - Развитие МАИС (разрабатываются по 4 и 5 этапам перевода в электронный вид - динамическая реализация услуг) - 20 услуг;ГК 2014 - Развитие МАИС (подлежат модернизации по 4 и 5 этапам перевода в электронный вид - динамическая реализация услуг) - 27 услуг;"ГК 2014 - Развитие МАИС (разрабатываются по 4 и 5 этапам перевода в электронный вид - статическая реализация услуг) - 3 услуги (в ГК - 4, нет ""8 тонн"")";ГК 2014 - Развитие МАИС (перечень платежей, которые разрабатываются на Портале и в мобильных приложениях на безе Android и iOS);ГК 2014 - Развитие МАИС (электронные ГУ, разрабатываются в ЭДО МФЦ) - 15 услуг;ГК 2014 - Развитие МАИС (электронные услуги КСП, модернизируются по результатам интеграции МАИС ЭГУ с АИС ЭСРН) - 96 услуг;ГК 2014 - Развитие МАИС (реализуются в ЭДО МФЦ, предоставляются юридическим лицам) - 55 услуг;ГК 2014 - Развитие МАИС ЭГУ (административные процедуры 2-й очереди, разрабатываемые в 2014 году в ЭДО МФЦ) - 20 услуг; УЭК                 ;Реализация на портале (Ростелеком);Актуализация по ЕПГУ;1993-р;729-р;реализация в электронном виде;51-рп;Внесение изменений в 51-рп;"ТКМВ
(реквизиты  протокола РГ МИВ)";ТКМВ внесение изменений (реквизиты  протокола РГ МИВ);КАР;Административный регламент утвержден распоряжением ИОГВ;Реквизиты нормативных правовых актов изменений в АР;Возмездная / Безвозмездная государственная услуга;Сумма госпошлины;Количество взаимодействий ЮЛ/ФЛ и ИОГВ при предоставлении гос. услуги;Наименование взаимодействий ЮЛ/ФЛ и ИОГВ при предоставлении гос. услуги;"Наименование услуги необходимой и обязательной, 
содержащейся в
постановлении
Правительства Санкт-Петербурга
от 03.02.2012 N 93";Наименование учреждения (организации), предоставляющей услугу необходимую и обязательную;Стоимость услуги н.о.;Наименование услуги (документа) необходимой для предоставления государственной услуги;Наименование учреждения (организации), предоставляющей необходимую услугу;Стоимость услуги необходимой для получения гос. услуги;Результат предоставления услуги/исполнения функции;Время ожидания в очереди;Требуется внесение изменений в АР;Дата поступления  на согласование;Результат согласования ;Дата согласования ;ФИО эксперта;Дата повторного поступления  на согласование;Результат повторного согласования ;Дата повторного согласования ;ФИО эксперта;Предварительная экспертиза ЮК (реквизиты письма);Результат предварительной экспертизы в ЮК;Проект направлен в ЮК для вынесения на КАР (реквизиты письма);Отсутствует НПА на федеральном уровне;Требуется внесение изменений в НПА на федеральном уровне;Отсутствует НПА СПб;Требуется внесение изменений в НПА СПб;№ п/п в соответствии с Перечнями №1 и №2 МЭР;Наименование в соответствии с Перечнями №1 и №2 МЭР;Комментарии Юридического Комитета;Наименование функции (услуги)  в соответствии с федеральным законодательством;Реквизиты НПА федерального уровня, которым функция (полномочие) закреплено (отнесено к ведению) за субъектом РФ;Наименование функции в соответствии с законодательством Санкт-Петербурга ;Реквизиты НПА регионального уровня, которым функция (полномочие) закреплено (порядок предоставления услуги);Реквизиты НПА, закрепляющего перечень документов представления услуги;Реквизиты НПА, которыми полномочие передано для осуществления ИОГВ субъекта РФ с федерального уровня;133-ФЗ;"Количество обращений за предоставление услуги
 (за 2011 год)";"Количество обращений за предоставлением услуги
(за 2013 год)";Количество обращений за предоставление услуги;Количество обращений за предоставление услуги;"Количество обращений за предоставление услуги
 (на 1.11.2012)";Формирование отчета по полномочиям;Примечание;Идентификатор услуги
р;;;;;;;3.10. ;Общая;;Архивный комитет;Принимает участие в формировании проектов бюджета Санкт-Петербурга.;Принимает участие в формировании проектов бюджета Санкт-Петербурга.;11;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
р;;;;;;;3.11.;Общая;;Архивный комитет;Осуществляет в установленном порядке полномочия главного распорядителя средств бюджета и государственного заказчика Санкт-Петербурга.;Осуществляет в установленном порядке полномочия главного распорядителя средств бюджета и государственного заказчика Санкт-Петербурга.;12;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
р;;;;;;;3.12. ;Общая;;Архивный комитет;Выступает от имени Губернатора Санкт-Петербурга, Правительства Санкт-Петербурга по их поручению по вопросам, относящимся к компетенции Комитета, в судебных органах, иных государственных органах, органах местного самоуправления в Санкт-Петербурге.;Выступает от имени Губернатора Санкт-Петербурга, Правительства Санкт-Петербурга по их поручению по вопросам, относящимся к компетенции Комитета, в судебных органах, иных государственных органах, органах местного самоуправления в Санкт-Петербурге.;13;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
р;;;;;;;3.13. ;Общая;;Архивный комитет;Осуществляет в пределах компетенции Комитета международное сотрудничество в соответствии с законодательством Российской Федерации;Осуществляет в пределах компетенции Комитета международное сотрудничество в соответствии с законодательством Российской Федерации;14;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
р;;;;;;;3.14. ;Исполняемое;;Архивный комитет;Осуществляет ведение государственного учета документов Архивного фонда Санкт-Петербурга.;Осуществляет ведение государственного учета документов Архивного фонда Санкт-Петербурга.;15;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;от 16.02.2010 № 22;от 18.02.2010 № 8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.2.;Хранение, комплектование (формирование), учет и использование архивных документов и архивных фондов;;;"п.2 ст.4 ФЗ от 22.10.2004 №125-ФЗ ""Об архивном деле в Российской Федерации"" ";"К компетенции Правительства Санкт-Петербурга в области архивного дела относятся хранение, комплектование, учет и использование архивных документов и архивных фондов:
";"пп.2 п.2 ст.2 закона Санкт-Петербурга от 24.02.2009 N 23-16 ""ОБ АРХИВНОМ ДЕЛЕ В САНКТ-ПЕТЕРБУРГЕ""";;;;;;;;;;;
р;;;;;;;3.15. ;Исполняемое;;Архивный комитет;Осуществляет подготовку в установленном порядке предложений для включения уникальных документов Архивного фонда Санкт-Петербурга в Государственный реестр уникальных документов Архивного фонда Российской Федерации.;Осуществляет подготовку в установленном порядке предложений для включения уникальных документов Архивного фонда Санкт-Петербурга в Государственный реестр уникальных документов Архивного фонда Российской Федерации.;16;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;2012;декабрь;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;КАР №48;от 14.03.2013 N 18;;;;;;;;;;;;;;;26.10.2012;согласовано;29.10.2012;Ковалев;;;;;;;;"Нет НПА на федеральном ур-не  ""Порядок учета архивных документов РФ ФАГ""";;;;;;;;"п.1 ст.19 ФЗ от 22.10.2004 №125-ФЗ ""Об архивном деле в Российской Федерации"" ";Решение вопросов о включении архивных документов в состав Архивного фонда Санкт-Петербурга, а также определение в его составе особо ценных документов, в том числе уникальных документов, осуществляется центральной экспертно-проверочной методической комиссии;"п.2 ст.4 закона Санкт-Петербурга от 24.02.2009 N 23-16 ""ОБ АРХИВНОМ ДЕЛЕ В САНКТ-ПЕТЕРБУРГЕ""";;;;;;;;;;;
р;;;;;;;3.16. ;Исполняемое;;Архивный комитет;Проводит в установленном порядке экспертизу ценности документов;Проведение в установленном порядке экспертизы ценности документов;17;;услуга;физ/юр;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1593;5.4.;5.4.;07-01/1-20/13 от 27.02.2013;01.01.2011;реализовано Шереметьев;8.4 III;208  200 IV;;;"п. 102 (РПГУ) приложения 16 ГК 49/13 п. 120 (ЭДО)
приложения 18 ГК 49/13 ";;186 приложения 1;"V
январь 2015
";;не возможно;;;;;;;;;от 22.08.2011 № 65;;;;;;0;;;;от 28.06.2011 № 37;от 18.02.2010 № 10;"от 01.07.2011 №57 от 24.02.2012 №20
от 26.04.2013 N 34
";безвозмездно;нет;2;" 1. Прием письменных обращений.
2. Протокол заседания ЦЭПМК Комитета и приложения к нему,
направленные в организации и госархивы экземпляры утвержденных (согласованных) документов";нет;нет;нет;нет;нет;нет;"2.3. Результатом предоставления государственной услуги могут быть следующие документы и принятые решения:
2.3.1. Номенклатуры (примерные номенклатуры) дел организаций.
2.3.2. Описи дел постоянного хранения организаций (или их годовые разделы).
2.3.3. Описи дел временного (свыше 10 лет) хранения, по личному составу организаций (или их годовые разделы).
2.3.4. Заключения на номенклатуры (примерные номенклатуры) дел организаций.
2.3.5. Заключения на описи дел постоянного и временного (свыше 10 лет) хранения, по личному составу.
2.3.6. Заключения на прием в госархивы документов и фондов личного происхождения.
2.3.7. Акты о выделении к уничтожению документов, не подлежащих хранению.
2.3.8. Акты о необнаружении дел, пути розыска которых исчерпаны.
2.3.9. Заключения на акты, перечисленные в пунктах 2.3.7 - 2.3.8 Регламента.
2.3.10. Решения ЦЭПМК Комитета об утверждении описей дел постоянного хранения (или их годовых разделов).
2.3.11. Решения ЦЭПМК Комитета о согласовании заключений на прием в государственные архивы документов и фондов личного происхождения; согласовании описей дел временного (свыше 10 лет) хранения, по личному составу (или их годовых разделов); актов, перечисленных в пунктах 2.3.7 - 2.3.8 Регламента.
2.3.12. Иные решения по вопросам экспертизы ценности документов.";" 15 минут
";нет;23.05.2011;согласовано;03.06.2011;Кононов;;;;;;;;;;;;3.1.;Проведение экспертизы ценности архивных документов, принятие решения о включении архивных документов в состав Архивного фонда субъекта Российской Федерации ;;;;;;;;;;25;;;;;;7,8E+18
р;;;;;;;3.17. ;Общая;;Архивный комитет;Создает в установленном порядке информационные системы.;Создает в установленном порядке информационные системы.;18;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
рфкн;;;;;;;3.18. ;Исполняемое;;Архивный комитет;Осуществляет контроль за соблюдением законодательства об архивном деле в пределах своей компетенции, определенной законодательством Российской Федерации и законодательством Санкт-Петербурга.;Осуществляет контроль за соблюдением законодательства об архивном деле в пределах своей компетенции, определенной законодательством Российской Федерации и законодательством Санкт-Петербурга.;19;;функция контроля и надзора;;;;;;;;;;;;;;;;;;;;;;;;;;;фкн 20;ноябрь;Требуется внесение изменений;по КК до 10.02.2013;;;исполнен;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;КАР №48;"от 14.03.2013 № 19
от 18.02.2010 № 7";26.04.2013 № 36;;;;;;;;;;;;;;23.10.2012;согласовано;31.10.2012;Тарасов;;;;;;;;Требуется порядок организации и осуществления государственного контроля на территории Санкт-Петербурга;;;;4.1.;Контроль за соблюдением законодательства об архивном деле в пределах своей компетенции, определенной законодательством Российской Федерации и законодательством субъектов Российской Федерации;;;"ст.16 ФЗ от 22.10.2004 №125-ФЗ ""Об архивном деле в Российской Федерации"" ";;;;;;;;;;;;;
р;;;;;;;3.19. ;Исполняемое;;Архивный комитет;Утверждает перечень должностных лиц Комитета, уполномоченных составлять протоколы об административных правонарушениях.;Утверждает перечень должностных лиц Комитета, уполномоченных составлять протоколы об административных правонарушениях.;20;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;от 15.06.2011 № 36;от  17.06.2011 №  53;;;;;;;;;;;;;;;05.05.2011;согласовано;13.05.2011;Кононов;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
